Epoch,Train,Test,Time
1,1.4372023151177546,0.9035822049588945,9.413231743000097
2,1.0131067878945126,0.8837590941691899,8.830883974000017
3,0.9835130178421295,0.8842301279821299,9.002482556999894
4,0.9636908905031241,0.8786805191049213,8.863162173000092
5,0.9513725930668944,0.8747516764695512,8.983038923000095
6,0.9385319752803701,0.875828372678778,9.053904208999938
7,0.9212732100819748,0.8753632173146272,8.926156504000119
8,0.9039934520421641,0.8800288061767623,8.949044707999747
9,0.8894733487269251,0.8900077208981835,8.92968644199982
10,0.8916572909957181,0.8871525011829496,8.887898424000014
1,1.4424346747099188,0.9023833367144921,9.898999404999927
2,1.007510461875975,0.8997633489958812,9.799786297999958
3,0.9880875635276648,0.8815952775560975,9.869507862999967
4,0.9636164086822299,0.8761365035750508,9.732011178999983
1,1.4424346617748305,0.9023833371183283,9.656519195999977
2,1.0075104632069327,0.8997633453507716,9.164969721000034
3,0.9880875549877737,0.881595276109342,9.145165216999999
4,0.9636164003675388,0.8761365056547216,9.117008996000095
5,0.9507423065239676,0.8964766044359673,9.12445822799998
6,0.936837772285418,0.8724585841428449,9.071107303999952
7,0.9105679964671052,0.8780551916054257,9.100543415000061
8,0.9037544245523758,0.8775976158500592,9.18620065999994
9,0.8893413858728267,0.8728274577327343,9.071942971999988
10,0.8764577799467669,0.8762730276931434,9.18247653200001
1,1.4424346770631333,0.9023833307579074,9.500480915000026
2,1.0075104623010718,0.8997633327953946,8.878656544000023
3,0.9880875630215972,0.8815952778661166,9.036395512999889
4,0.963616402045153,0.876136511893734,9.097394917999964
5,0.9507423050513109,0.896476585533854,9.188494606999939
6,0.9368377798612504,0.8724585966734717,8.995556629999783
7,0.9105679973501931,0.878055188492736,9.040570259999868
8,0.9037544224724379,0.8775976149157655,9.091967991000047
9,0.8893413924137509,0.8728274581502454,9.010051628000156
10,0.8764577909765108,0.8762730333073796,9.201736760999893
11,0.8679902226992912,0.8750807170328334,9.198657819000118
12,0.8598738027754573,0.871533186495405,9.057916636000073
13,0.8438949590470749,0.8761176699778841,9.039378217000149
14,0.8394688660755569,0.8862238683491825,9.08200640799987
15,0.8396425523151059,0.8789955916196261,9.076459763999992
16,0.8265308681556012,0.8723370261920729,9.043364231000169
17,0.8158739798490858,0.8751844617443056,9.066859386000033
18,0.8128002750476808,0.872354815609726,9.075265725000008
19,0.8079989033449605,0.8756433698901521,9.164167098999997
20,0.8039713863971015,0.8786515978528365,9.080658542000037
21,0.7909131656733125,0.8797501501609557,9.028354776000015
22,0.7880261162759938,0.8718261528433676,9.141538891999971
23,0.786664742029448,0.8700796432738322,9.378117524000118
24,0.784022939364075,0.8740022352319315,9.160600781000085
25,0.7753227372073545,0.8698247320023691,9.26405403700005
26,0.779596436927549,0.8767059316269472,9.327433305999875
27,0.7728827645431898,0.8769072384941072,9.364355873000022
28,0.7699068955511569,0.8777851795702272,9.269176645000016
29,0.7694084500670332,0.8732665874607226,9.113867344000028
30,0.7618079453043792,0.8751017600188822,9.409421394999981
31,0.7599639606877647,0.8721591546775226,9.313966990999916
32,0.7617700626989196,0.8775332557026444,9.298340165000127
33,0.7605089784544015,0.8739274652122074,9.226232396000114
34,0.7610049321728786,0.8861714898123628,9.19962790999989
35,0.7589466447074844,0.8795686067616796,9.045200538000017
36,0.7561827584794957,0.8772515309822746,9.060112382999932
37,0.7556953669166216,0.8843778044476296,9.145416568999963
38,0.7604814436084893,0.8776634153813,9.114550522000172
39,0.7560677971443552,0.8735315014436718,9.097395349999942
40,0.7529850346433993,0.8706481533631273,9.242351788000178
"ensemble of range(10, 40, 10)",0,0.8692203444796011,0
